iter	Passed	Remaining
880	29324	3960
881	29349	3926
882	29374	3892
883	29396	3857
884	29420	3822
885	29438	3787
886	29492	3757
887	29537	3725
888	29568	3691
889	29591	3657
890	29615	3622
891	29634	3588
892	29670	3555
893	29715	3523
894	29801	3496
895	29834	3462
896	29855	3428
897	29876	3393
898	29897	3358
899	29918	3324
900	29958	3291
901	30022	3261
902	30060	3229
903	30081	3194
904	30100	3159
905	30120	3125
906	30144	3090
907	30162	3056
908	30230	3026
909	30278	2994
910	30298	2960
911	30317	2925
912	30338	2890
913	30368	2857
914	30397	2823
915	30489	2795
916	30528	2763
917	30557	2729
918	30579	2695
919	30600	2660
920	30622	2626
921	30644	2592
922	30663	2558
923	30686	2524
924	30707	2489
925	30732	2455
926	30759	2422
927	30781	2388
928	30806	2354
929	30827	2320
930	30884	2288
931	30939	2257
932	30966	2223
933	30992	2190
934	31017	2156
935	31038	2122
936	31056	2088
937	31081	2054
938	31123	2021
939	31167	1989
940	31197	1956
941	31223	1922
942	31247	1888
943	31269	1854
944	31292	1821
945	31316	1787
946	31353	1754
947	31412	1723
948	31447	1689
949	31472	1656
950	31499	1623
951	31524	1589
952	31547	1555
953	31571	1522
954	31594	1488
955	31614	1455
956	31640	1421
957	31663	1388
958	31684	1354
959	31705	1321
960	31730	1287
961	31752	1254
962	31774	1220
963	31794	1187
964	31824	1154
965	31864	1121
966	31960	1090
967	31994	1057
968	32016	1024
969	32040	990
970	32066	957
971	32094	924
972	32113	891
973	32137	857
974	32161	824
975	32180	791
976	32202	758
977	32277	726
978	32314	693
979	32336	659
980	32360	626
981	32378	593
982	32398	560
983	32431	527
984	32473	494
985	32551	462
986	32587	429
987	32615	396
988	32637	363
989	32658	329
990	32682	296
991	32702	263
992	32725	230
993	32747	197
994	32773	164
995	32859	131
996	32896	98
997	32920	65
998	32941	32
999	32962	0
